State,District,State Type
Andaman Nicobar,Nicobar,Union Territory
Andaman Nicobar,North Middle Andaman,Union Territory
Andaman Nicobar,South Andaman,Union Territory
Andhra Pradesh,Anantapur,State
Andhra Pradesh,Chittoor,State
Andhra Pradesh,East Godavari,State
Andhra Pradesh,Alluri Sitarama Raju,State
Andhra Pradesh,Anakapalli,State
Andhra Pradesh,Annamaya,State
Andhra Pradesh,Bapatla,State
Andhra Pradesh,Eluru,State
Andhra Pradesh,Guntur,State
Andhra Pradesh,Kadapa,State
Andhra Pradesh,Kakinada ,State
Andhra Pradesh,Konaseema,State
Andhra Pradesh,Krishna,State
Andhra Pradesh,Kurnool,State
Andhra Pradesh,Manyam,State
Andhra Pradesh,N T Rama Rao,State
Andhra Pradesh,Nandyal,State
Andhra Pradesh,Nellore,State
Andhra Pradesh,Palnadu,State
Andhra Pradesh,Prakasam,State
Andhra Pradesh,Sri Balaji,State
Andhra Pradesh,Sri Satya Sai,State
Andhra Pradesh,Srikakulam,State
Andhra Pradesh,Visakhapatnam,State
Andhra Pradesh,Vizianagaram,State
Andhra Pradesh,West Godavari,State
Arunachal Pradesh,Anjaw,State
Arunachal Pradesh,Central Siang,State
Arunachal Pradesh,Changlang,State
Arunachal Pradesh,Dibang Valley,State
Arunachal Pradesh,East Kameng,State
Arunachal Pradesh,East Siang,State
Arunachal Pradesh,Kamle,State
Arunachal Pradesh,Kra Daadi,State
Arunachal Pradesh,Kurung Kumey,State
Arunachal Pradesh,Lepa Rada,State
Arunachal Pradesh,Lohit,State
Arunachal Pradesh,Longding,State
Arunachal Pradesh,Lower Dibang Valley,State
Arunachal Pradesh,Lower Siang,State
Arunachal Pradesh,Lower Subansiri,State
Arunachal Pradesh,Namsai,State
Arunachal Pradesh,Pakke Kessang,State
Arunachal Pradesh,Papum Pare,State
Arunachal Pradesh,Shi Yomi,State
Arunachal Pradesh,Tawang,State
Arunachal Pradesh,Tirap,State
Arunachal Pradesh,Upper Siang,State
Arunachal Pradesh,Upper Subansiri,State
Arunachal Pradesh,West Kameng,State
Arunachal Pradesh,West Siang,State
Assam,Baksa,State
Assam,Barpeta,State
Assam,Bongaigaon,State
Assam,Cachar,State
Assam,Charaideo,State
Assam,Chirang,State
Assam,Darrang,State
Assam,Dhemaji,State
Assam,Dhubri,State
Assam,Dibrugarh,State
Assam,Dima Hasao,State
Assam,Goalpara,State
Assam,Golaghat,State
Assam,Hailakandi,State
Assam,Jorhat,State
Assam,Kamrup,State
Assam,Kamrup Metropolitan,State
Assam,Karbi Anglong,State
Assam,Karimganj,State
Assam,Kokrajhar,State
Assam,Lakhimpur,State
Assam,Majuli,State
Assam,Morigaon,State
Assam,Nagaon,State
Assam,Nalbari,State
Assam,Sivasagar,State
Assam,Sonitpur,State
Assam,South Salmara-Mankachar,State
Assam,Tinsukia,State
Assam,Udalguri,State
Assam,West Karbi Anglong,State
Bihar,Araria,State
Bihar,Arwal,State
Bihar,Aurangabad,State
Bihar,Banka,State
Bihar,Begusarai,State
Bihar,Bhagalpur,State
Bihar,Bhojpur,State
Bihar,Buxar,State
Bihar,Darbhanga,State
Bihar,East Champaran,State
Bihar,Gaya,State
Bihar,Gopalganj,State
Bihar,Jamui,State
Bihar,Jehanabad,State
Bihar,Kaimur,State
Bihar,Katihar,State
Bihar,Khagaria,State
Bihar,Kishanganj,State
Bihar,Lakhisarai,State
Bihar,Madhepura,State
Bihar,Madhubani,State
Bihar,Munger,State
Bihar,Muzaffarpur,State
Bihar,Nalanda,State
Bihar,Nawada,State
Bihar,Patna,State
Bihar,Purnia,State
Bihar,Rohtas,State
Bihar,Saharsa,State
Bihar,Samastipur,State
Bihar,Saran,State
Bihar,Sheikhpura,State
Bihar,Sheohar,State
Bihar,Sitamarhi,State
Bihar,Siwan,State
Bihar,Supaul,State
Bihar,Vaishali,State
Bihar,West Champaran,State
Chandigarh,Chandigarh,Union Territory
Chhattisgarh,Balod,State
Chhattisgarh,Baloda Bazar,State
Chhattisgarh,Balrampur,State
Chhattisgarh,Bastar,State
Chhattisgarh,Bemetara,State
Chhattisgarh,Bijapur,State
Chhattisgarh,Bilaspur,State
Chhattisgarh,Dantewada,State
Chhattisgarh,Dhamtari,State
Chhattisgarh,Durg,State
Chhattisgarh,Gariaband,State
Chhattisgarh,Gaurela Pendra Marwahi,State
Chhattisgarh,Janjgir Champa,State
Chhattisgarh,Jashpur,State
Chhattisgarh,Kabirdham,State
Chhattisgarh,Kanker,State
Chhattisgarh,Khairagarh,State
Chhattisgarh,Kondagaon,State
Chhattisgarh,Korba,State
Chhattisgarh,Koriya,State
Chhattisgarh,Mahasamund,State
Chhattisgarh,Manendragarh,State
Chhattisgarh,Mohla Manpur,State
Chhattisgarh,Mungeli,State
Chhattisgarh,Narayanpur,State
Chhattisgarh,Raigarh,State
Chhattisgarh,Raipur,State
Chhattisgarh,Rajnandgaon,State
Chhattisgarh,Sakti,State
Chhattisgarh,Sarangarh Bilaigarh,State
Chhattisgarh,Sukma,State
Chhattisgarh,Surajpur,State
Chhattisgarh,Surguja,State
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,Union Territory
Dadra and Nagar Haveli and Daman and Diu,Daman,Union Territory
Dadra and Nagar Haveli and Daman and Diu,Diu,Union Territory
Delhi,Central Delhi,Union Territory
Delhi,East Delhi,Union Territory
Delhi,New Delhi,Union Territory
Delhi,North Delhi,Union Territory
Delhi,North East Delhi,Union Territory
Delhi,North West Delhi,Union Territory
Delhi,Shahdara,Union Territory
Delhi,South Delhi,Union Territory
Delhi,South East Delhi,Union Territory
Delhi,South West Delhi,Union Territory
Delhi,West Delhi,Union Territory
Goa,North Goa,State
Goa,South Goa,State
Gujarat,Ahmedabad,State
Gujarat,Amreli,State
Gujarat,Anand,State
Gujarat,Aravalli,State
Gujarat,Banaskantha,State
Gujarat,Bharuch,State
Gujarat,Bhavnagar,State
Gujarat,Botad,State
Gujarat,Chhota Udaipur,State
Gujarat,Dahod,State
Gujarat,Dang,State
Gujarat,Devbhoomi Dwarka,State
Gujarat,Gandhinagar,State
Gujarat,Gir Somnath,State
Gujarat,Jamnagar,State
Gujarat,Junagadh,State
Gujarat,Kheda,State
Gujarat,Kutch,State
Gujarat,Mahisagar,State
Gujarat,Mehsana,State
Gujarat,Morbi,State
Gujarat,Narmada,State
Gujarat,Navsari,State
Gujarat,Panchmahal,State
Gujarat,Patan,State
Gujarat,Porbandar,State
Gujarat,Rajkot,State
Gujarat,Sabarkantha,State
Gujarat,Surat,State
Gujarat,Surendranagar,State
Gujarat,Tapi,State
Gujarat,Vadodara,State
Gujarat,Valsad,State
Haryana,Ambala,State
Haryana,Bhiwani,State
Haryana,Charkhi Dadri,State
Haryana,Faridabad,State
Haryana,Fatehabad,State
Haryana,Gurugram,State
Haryana,Hisar,State
Haryana,Jhajjar,State
Haryana,Jind,State
Haryana,Kaithal,State
Haryana,Karnal,State
Haryana,Kurukshetra,State
Haryana,Mahendragarh,State
Haryana,Mewat,State
Haryana,Palwal,State
Haryana,Panchkula,State
Haryana,Panipat,State
Haryana,Rewari,State
Haryana,Rohtak,State
Haryana,Sirsa,State
Haryana,Sonipat,State
Haryana,Yamunanagar,State
Himachal Pradesh,Bilaspur,State
Himachal Pradesh,Chamba,State
Himachal Pradesh,Hamirpur,State
Himachal Pradesh,Kangra,State
Himachal Pradesh,Kinnaur,State
Himachal Pradesh,Kullu,State
Himachal Pradesh,Lahaul Spiti,State
Himachal Pradesh,Mandi,State
Himachal Pradesh,Shimla,State
Himachal Pradesh,Sirmaur,State
Himachal Pradesh,Solan,State
Himachal Pradesh,Una,State
Jammu Kashmir,Anantnag,Union Territory
Jammu Kashmir,Bandipora,Union Territory
Jammu Kashmir,Baramulla,Union Territory
Jammu Kashmir,Budgam,Union Territory
Jammu Kashmir,Doda,Union Territory
Jammu Kashmir,Ganderbal,Union Territory
Jammu Kashmir,Jammu,Union Territory
Jammu Kashmir,Kathua,Union Territory
Jammu Kashmir,Kishtwar,Union Territory
Jammu Kashmir,Kulgam,Union Territory
Jammu Kashmir,Kupwara,Union Territory
Jammu Kashmir,Poonch,Union Territory
Jammu Kashmir,Pulwama,Union Territory
Jammu Kashmir,Rajouri,Union Territory
Jammu Kashmir,Ramban,Union Territory
Jammu Kashmir,Reasi,Union Territory
Jammu Kashmir,Samba,Union Territory
Jammu Kashmir,Shopian,Union Territory
Jammu Kashmir,Srinagar,Union Territory
Jammu Kashmir,Udhampur,Union Territory
Jharkhand,Bokaro,State
Jharkhand,Chatra,State
Jharkhand,Deoghar,State
Jharkhand,Dhanbad,State
Jharkhand,Dumka,State
Jharkhand,East Singhbhum,State
Jharkhand,Garhwa,State
Jharkhand,Giridih,State
Jharkhand,Godda,State
Jharkhand,Gumla,State
Jharkhand,Hazaribagh,State
Jharkhand,Jamtara,State
Jharkhand,Khunti,State
Jharkhand,Koderma,State
Jharkhand,Latehar,State
Jharkhand,Lohardaga,State
Jharkhand,Pakur,State
Jharkhand,Palamu,State
Jharkhand,Ramgarh,State
Jharkhand,Ranchi,State
Jharkhand,Sahebganj,State
Jharkhand,Seraikela Kharsawan,State
Jharkhand,Simdega,State
Jharkhand,West Singhbhum,State
Karnataka,Bagalkot,State
Karnataka,Bangalore Rural,State
Karnataka,Bangalore Urban,State
Karnataka,Belgaum,State
Karnataka,Bellary,State
Karnataka,Bidar,State
Karnataka,Chamarajanagar,State
Karnataka,Chikkaballapur,State
Karnataka,Chikkamagaluru,State
Karnataka,Chitradurga,State
Karnataka,Dakshina Kannada,State
Karnataka,Davanagere,State
Karnataka,Dharwad,State
Karnataka,Gadag,State
Karnataka,Gulbarga,State
